Ticker,Buy Date,Buy Price,Sell Date,Sell Price,Percentage Profit
GRMN,2020-04-17,72.9507,2020-05-15,69.3258,-4.9689
GRMN,2020-10-16,89.1986,2020-11-03,99.5475,11.6021
AVY,2020-01-23,119.3672,2020-02-26,109.3484,-8.3932
AVY,2020-04-17,100.2705,2020-05-14,93.724,-6.5289
AVY,2020-06-02,106.5112,2020-07-01,105.0827,-1.3412
AVY,2020-07-21,111.0456,2020-08-03,103.9675,-6.374
AVY,2020-08-19,105.2947,2020-09-16,118.8685,12.8913
CMS,2020-04-17,53.8906,2020-04-28,50.5123,-6.2688
CMS,2020-06-02,51.1417,2020-06-29,49.4656,-3.2773
CMS,2020-07-13,51.0385,2020-08-20,52.2226,2.3199
CMS,2020-09-15,52.8715,2020-10-01,53.3646,0.9327
ADBE,2020-04-16,342.7,2020-05-21,382.17,11.5174
ADBE,2020-08-07,449.57,2020-08-27,510.32,13.5129
ADBE,2020-10-12,510.89,2020-10-23,488.5,-4.3826
ADBE,2020-12-04,486.0,2020-12-31,500.12,2.9053
VZ,2020-01-31,43.3786,2020-02-28,39.5253,-8.8829
VZ,2020-04-09,42.3698,2020-05-13,40.4594,-4.5091
VZ,2020-06-09,42.6796,2020-06-24,39.7807,-6.7923
VZ,2020-07-22,41.585,2020-10-01,44.3449,6.6368
VZ,2020-11-12,45.8273,2020-12-22,44.4703,-2.961
ADSK,2020-04-17,180.94,2020-05-27,199.81,10.4289
ADSK,2020-08-10,231.88,2020-09-03,242.09,4.4031
ADSK,2020-10-14,246.7,2020-11-30,280.23,13.5914
WAT,2020-04-09,195.93,2020-04-22,190.34,-2.8531
WAT,2020-05-29,199.85,2020-06-12,185.56,-7.1504
WAT,2020-07-16,224.04,2020-07-31,213.15,-4.8607
WAT,2020-10-15,213.7,2020-12-03,232.59,8.8395
NWSA,2020-02-19,13.7892,2020-03-03,11.1748,-18.9596
NWSA,2020-04-30,9.4464,2020-05-19,10.5807,12.0081
